date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:34:55	345/345	---M--	404	error ('Not%20Found')	text/html	date:Fri,%2003%20Jan%202020%2016:04:56%20GMT	https://rallyinteractive.com/robots.txt		(from )
21:34:55	30846/30846	---M--	200	added ('OK')	text/html	etag:%220a8425b6d591cb5516ff5225afd8cefc%22	https://rallyinteractive.com/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/index.html	(from )
21:34:56	310065/310065	---M--	200	added ('OK')	text/javascript	etag:%22ce7838c11b44f6dd98caf94919054a9a%22	https://rallyinteractive.com/static/js/rally.min.js	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/js/rally.min.js	(from https://rallyinteractive.com/)
21:34:56	132469/132469	---M--	200	added ('OK')	text/css	etag:%22dca4941de7ed6c9c40e7c26705b42f66%22	https://rallyinteractive.com/static/css/rally.min.css	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/css/rally.min.css	(from https://rallyinteractive.com/)
21:34:57	33205/33205	---M--	200	added ('OK')	text/html	etag:%2224683a8163b860e05c67e9a50945e14c%22	https://rallyinteractive.com/jobs/senior-developer/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/jobs/senior-developer/index.html	(from https://rallyinteractive.com/)
21:34:57	308/308	---M--	200	added ('OK')	image/svg+xml	etag:%22fb189bc8539f1d33f2ad7a88fdfcea06%22	https://rallyinteractive.com/static/images/home-arrow.svg	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/images/home-arrow.svg	(from https://rallyinteractive.com/)
21:34:57	21221/21221	---M--	200	added ('OK')	text/html	etag:%22c3e31602419611cf2f5e3b9c15a6843c%22	https://rallyinteractive.com/contact/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/contact/index.html	(from https://rallyinteractive.com/)
21:34:57	31758/31758	---M--	200	added ('OK')	text/html	etag:%2208bcbf2f0e10730e0f8158cf7e5454df%22	https://rallyinteractive.com/jobs/design-intern/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/jobs/design-intern/index.html	(from https://rallyinteractive.com/)
21:34:57	64574/64574	---M--	200	added ('OK')	text/html	etag:%221b45bd71f9b86fa6cf598e38213e0dfd%22	https://rallyinteractive.com/studio/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/studio/index.html	(from https://rallyinteractive.com/)
21:34:57	45837/45837	---M--	200	added ('OK')	text/html	etag:%2236ac6218d704b000b600819f6cff5720%22	https://rallyinteractive.com/case-studies/jaybird/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/jaybird/index.html	(from https://rallyinteractive.com/)
21:34:57	43094/43094	---M--	200	added ('OK')	text/html	etag:%2211d79fc10cfd37110a2d58e6257e5abb%22	https://rallyinteractive.com/case-studies/in-car-navigation/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/in-car-navigation/index.html	(from https://rallyinteractive.com/)
21:34:58	36444/36444	---M--	200	added ('OK')	text/html	etag:%22f590c1005e23e31dfbfa73b161d355d3%22	https://rallyinteractive.com/case-studies/tactical-mapping/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/tactical-mapping/index.html	(from https://rallyinteractive.com/)
21:34:58	1309/1309	---M--	200	added ('OK')	image/png	etag:%2259e03dedcd24394d47b956bdd437e517%22	https://rallyinteractive.com/static/images/spinner.png	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/images/spinner.png	(from https://rallyinteractive.com/static/css/rally.min.css)
21:34:59	35655/35655	---M--	200	added ('OK')	text/html	etag:%2254a75dd87de55129168c3143801bd9d5%22	https://rallyinteractive.com/case-studies/inside-design/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/inside-design/index.html	(from https://rallyinteractive.com/)
21:35:00	55971/55971	---M--	200	added ('OK')	text/html	etag:%2242e4d845bc7d2036cbc6f2a6c1e4da4c%22	https://rallyinteractive.com/case-studies/youmap/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/youmap/index.html	(from https://rallyinteractive.com/)
21:35:00	35462/35462	---M--	200	added ('OK')	text/html	etag:%22d7a1f50a6612d48be5b51ea7faa6d9ad%22	https://rallyinteractive.com/case-studies/chat/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/chat/index.html	(from https://rallyinteractive.com/)
21:35:00	47308/47308	---M--	200	added ('OK')	text/html	etag:%22962e1584856118fb0a652949a531fd9f%22	https://rallyinteractive.com/case-studies/franklin-square/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/franklin-square/index.html	(from https://rallyinteractive.com/)
21:35:00	447405/447405	---M--	200	added ('OK')	image/png	etag:%22266f75f38518155e5d6bacb8e95697f7%22	https://rallyinteractive.com/static/images/iPhone-4.png	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/images/iPhone-4.png	(from https://rallyinteractive.com/static/css/rally.min.css)
21:35:01	38440/38440	---M--	200	added ('OK')	text/html	etag:%2283d7e06b67bdf4162b6c0c2b60a371fc%22	https://rallyinteractive.com/case-studies/stance/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/stance/index.html	(from https://rallyinteractive.com/)
21:35:01	38458/38458	---M--	200	added ('OK')	text/html	etag:%2270862375222ae062c1738753d5236a49%22	https://rallyinteractive.com/case-studies/broadcast-graphics/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/broadcast-graphics/index.html	(from https://rallyinteractive.com/)
21:35:01	421708/421708	---M--	200	added ('OK')	image/png	etag:%22ee012fd39480f0d80d61447cab72836d%22	https://rallyinteractive.com/static/images/iPhone-8.png	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/images/iPhone-8.png	(from https://rallyinteractive.com/static/css/rally.min.css)
21:35:01	52148/52148	---M--	200	added ('OK')	text/html	etag:%221737d38edf221f52147ca5b01bb6561f%22	https://rallyinteractive.com/case-studies/snkrs/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/snkrs/index.html	(from https://rallyinteractive.com/)
21:35:01	13939/13939	---M--	200	added ('OK')	image/png	etag:%223bcc519465d7b29534e6acab95d7e6ab%22	https://rallyinteractive.com/static/images/iPhone-X-BG.png	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/static/images/iPhone-X-BG.png	(from https://rallyinteractive.com/static/css/rally.min.css)
21:35:01	46114/46114	---M--	200	added ('OK')	text/html	etag:%2230c7e840c67dbc5c8d220930b4d7e671%22	https://rallyinteractive.com/case-studies/luxe-valet/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/luxe-valet/index.html	(from https://rallyinteractive.com/)
21:35:01	36365/36365	---M--	200	added ('OK')	text/html	etag:%22b0250223b7df3c5ff4dfc8a621eb8546%22	https://rallyinteractive.com/case-studies/global-transactions/	C:/My%20Web%20Sites/WIngsnew/rallyinteractive.com/case-studies/global-transactions/index.html	(from https://rallyinteractive.com/)
